User,Search Term,Tweet Text,Created on,Compound,Positive,Negative,Neutral,Timestamps
BorahMena,@BBC,@Sindhanilkanth1 @BarackObama @narendramodi @HillaryClinton @Iran @HassanRouhani @theresa_may @JPN_PMO @PureNewZealand @TurnbullMalcolm @JuliaGillard @realDonaldTrump @ChinaDaily @ImranKhanPTI @BBC @RahulGandhi @priyankagandhi @ShashiTharoor @Pawankhera @RiaRevealed @SATAVRAJEEV @shaktisinhgohil @INCIndia 😁,2020-05-22 09:09:26,0.4588,0.1,0.0,0.9,1590138566
pugsween,@BBC,"RT @BBC_Teach: Thank you @BBC for sharing our video. 💚

#MentalHealthAwarenessWeek",2020-05-22 09:09:23,0.6486,0.346,0.0,0.654,1590138563
its_donna_bb,@BBC,RT @redsarah99: @Gaynorann46 @MettlesomeTeri @jeremycorbyn @BBC @Conservatives Really sad. 😳😞 https://t.co/wTbnFdursu,2020-05-22 09:09:11,-0.7574,0.0,0.351,0.649,1590138551
Mickey58630673,@BBC,"@YardleyShooting @BBC Agree BBC look for any negatives regarding Boris and the Government and any positives for the left, outrageous reporting.",2020-05-22 09:09:10,0.4404,0.219,0.112,0.669,1590138550
oprhxn,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:09:08,0.5994,0.17,0.0,0.83,1590138548
Osdok3,@BBC,@GlassAnimals @BBC @jbirchphoto your outfit tho 👁️👄👁️✨🌈💗,2020-05-22 09:09:06,0.4588,0.267,0.0,0.733,1590138546
GabbarI68635090,@BBC,"@DrLeoRebello @PMOIndia @narendramodi @BillGates @WHO @rashtrapatibhvn @VPSecretariat @ndtv @BBC What happened, Leoji, you were to arrest people for not lifting lockdown! 20th May has gone by, 2 days back!

Full Gas, No Matter!",2020-05-22 09:09:05,-0.5187,0.0,0.123,0.877,1590138545
dxczi,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:09:02,0.5994,0.17,0.0,0.83,1590138542
Balwenboy,@BBC,"RT @uk_sf_writer: I'm so sick and tired of @BBC anti-government bias, I've just turned over to ITV for the news (despite its mindless adver…",2020-05-22 09:08:28,-0.7506,0.077,0.282,0.641,1590138508
jamiemilton_,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:08:26,0.5994,0.17,0.0,0.83,1590138506
LizzleByrne,@BBC,"RT @GlassAnimals: the bbc asked me to play some instruments on my stoop. so naturally i put on my overalls
for the occasion. thank u @BBC.…",2020-05-22 09:08:20,0.5994,0.17,0.0,0.83,1590138500
NHSHistoryDept,@BBC,"RT @BBC_Teach: Thank you @BBC for sharing our video. 💚

#MentalHealthAwarenessWeek",2020-05-22 09:08:05,0.6486,0.346,0.0,0.654,1590138485
GWillmer_PwC,@BBC,"The Joy of #Data. 120,000 data points - plotting 200 countries over 200 years, via @HansRosling @BBC

#DataVisualisation #DrillDown #VR #VirtualReality #IntelligentDigital 
https://t.co/mWEeippbDt 

@Joe_Tableau @jonandrews139",2020-05-22 09:07:59,0.5859,0.137,0.0,0.863,1590138479
IpobosisiomaLga,@BBC,"These are the official #FulaniSlaves imposed on Biafrans by the #Calliphate to oversea over the destruction of their own people,
T U F I A K W A!,
They can Never be my Elder,it is Better that I die Fighting for Biafra,
@MaziNnamdiKanu 
@GovernorIkpeazu
@DaveUmahi 
@un @eu @bbc https://t.co/taBHc5VOZw",2020-05-22 09:07:58,-0.8313,0.049,0.2,0.751,1590138478
SUSHistory2016,@BBC,"RT @BBC_Teach: Thank you @BBC for sharing our video. 💚

#MentalHealthAwarenessWeek https://t.co/0IAiH8O50g",2020-05-22 09:07:48,0.6486,0.325,0.0,0.675,1590138468
